nameDisplay,description,abv,ibu,originalGravity,style_name,style_category_name,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_ogMax,style_fgMin,style_fgMax,brewery_name_beer,geometry_location_lat,geometry_location_lng,location
Simcoe Pale Ale,,5.2,47.0,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Single Barrel Rompo,,,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Single Barrel Rompo,,,,,Wood- and Barrel-Aged Beer,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Single Hop Series: Liberty,An American IPA made in the heart of Nashville Tennessee. This IPA is part of a series of brews dedicated to a single hop. The Liberty Hop profile shines through the whole beer.,5.0,44.0,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Single Hop Series: Liberty,An American IPA made in the heart of Nashville Tennessee. This IPA is part of a series of brews dedicated to a single hop. The Liberty Hop profile shines through the whole beer.,5.0,44.0,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Snowday Porter,,,,,Brown Porter,British Origin Ales,20.0,30.0,4.5,6.0,20.0,35.0,1.04,,1.006,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Snowday Porter,,,,,Brown Porter,British Origin Ales,20.0,30.0,4.5,6.0,20.0,35.0,1.04,,1.006,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Snowman Stout,"A delicious mocha stout brewed with locally roasted cacao nibs and coffee beans, the aroma alone is enough to make us wish we could jump in the kettle on brew days. With grains including roasted barley, chocolate malt, and black malt, it will warm you
 up from the inside out.",5.2,28.0,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Snowman Stout,"A delicious mocha stout brewed with locally roasted cacao nibs and coffee beans, the aroma alone is enough to make us wish we could jump in the kettle on brew days. With grains including roasted barley, chocolate malt, and black malt, it will warm you
 up from the inside out.",5.2,28.0,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Spruce Beersteen,"A Black IPA, also known as a Cascadian Dark Ale, Spruce has both a powerful hop boquet,
 and dark, roasted caramel malts. Spruce tips are added during the brew to accent the
 hop aroma for this rock star of a brew.",6.0,67.0,,American-Style Black Ale,North American Origin Ales,50.0,70.0,6.0,7.5,35.0,35.0,1.056,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Spruce Beersteen,"A Black IPA, also known as a Cascadian Dark Ale, Spruce has both a powerful hop boquet,
 and dark, roasted caramel malts. Spruce tips are added during the brew to accent the
 hop aroma for this rock star of a brew.",6.0,67.0,,American-Style Black Ale,North American Origin Ales,50.0,70.0,6.0,7.5,35.0,35.0,1.056,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Stone Cold Peach,,5.6,30.0,,French & Belgian-Style Saison,Belgian And French Origin Ales,20.0,40.0,4.5,8.5,4.0,14.0,1.055,,1.004,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Stone Cold Peach,,5.6,30.0,,French & Belgian-Style Saison,Belgian And French Origin Ales,20.0,40.0,4.5,8.5,4.0,14.0,1.055,,1.004,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Tannakin,,6.2,,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Tannakin,,6.2,,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Tettang Lager,,,,,American-Style Lager,North American Lager,5.0,13.0,3.8,5.0,2.0,4.0,1.04,,1.006,1.01,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Tettang Lager,,,,,American-Style Lager,North American Lager,5.0,13.0,3.8,5.0,2.0,4.0,1.04,,1.006,1.01,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Thunder Ann,"Thunder Ann is our American pale ale named after Ms. Sally Ann Thunder Ann Whirlwind Crockett. Davy’s wife and an Undeniable Badass. With a citrusy aroma and dry-hopped with classic American varieties, Thunder Ann packs a one-two punch but can also be subtly sweet, just like its namesake.",5.5,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Thunder Ann,"Thunder Ann is our American pale ale named after Ms. Sally Ann Thunder Ann Whirlwind Crockett. Davy’s wife and an Undeniable Badass. With a citrusy aroma and dry-hopped with classic American varieties, Thunder Ann packs a one-two punch but can also be subtly sweet, just like its namesake.",5.5,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Triple Smoked Cubcrawler,,6.0,,,Smoke Beer (Lager or Ale),Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Triple Smoked Cubcrawler,,6.0,,,Smoke Beer (Lager or Ale),Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Unite Red IPA,,,,,Imperial Red Ale,North American Origin Ales,55.0,85.0,7.9,10.5,10.0,15.0,1.08,,1.02,1.028,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Unite Red IPA,,,,,Imperial Red Ale,North American Origin Ales,55.0,85.0,7.9,10.5,10.0,15.0,1.08,,1.02,1.028,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Vanilla Wheat,,,,,Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,10.0,17.0,4.8,5.2,2.0,4.0,1.044,,1.006,1.01,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Vanilla Wheat,,,,,Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,10.0,17.0,4.8,5.2,2.0,4.0,1.044,,1.006,1.01,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Warrior Bomb,,5.0,80.0,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Warrior Bomb,,5.0,80.0,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Wet Hopped American Summer,,4.8,35.0,,Light American Wheat Ale or Lager with Yeast,Hybrid/mixed Beer,10.0,35.0,3.5,5.5,4.0,10.0,1.036,,1.006,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Wet Hopped American Summer,,4.8,35.0,,Light American Wheat Ale or Lager with Yeast,Hybrid/mixed Beer,10.0,35.0,3.5,5.5,4.0,10.0,1.036,,1.006,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Whiskey Barrel Snowman Stout,,5.2,28.0,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Whiskey Barrel Snowman Stout,,5.2,28.0,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
