nameDisplay,description,abv,ibu,originalGravity,style_name,style_category_name,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_ogMax,style_fgMin,style_fgMax,brewery_name_beer,geometry_location_lat,geometry_location_lng,location
Chai Porter,,5.6,24.0,,Brown Porter,British Origin Ales,20.0,30.0,4.5,6.0,20.0,35.0,1.04,,1.006,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Chai Porter,,5.6,24.0,,Brown Porter,British Origin Ales,20.0,30.0,4.5,6.0,20.0,35.0,1.04,,1.006,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Cherry Vanilla Stout,,5.5,28.0,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Cherry Vanilla Stout,,5.5,28.0,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Chocolate Pretzel Stout,Stout brewed with chocolate and pretzels.,5.2,,,Chocolate / Cocoa-Flavored Beer,Hybrid/mixed Beer,15.0,40.0,2.5,12.0,15.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Chocolate Pretzel Stout,Stout brewed with chocolate and pretzels.,5.2,,,Chocolate / Cocoa-Flavored Beer,Hybrid/mixed Beer,15.0,40.0,2.5,12.0,15.0,50.0,1.03,,1.006,1.03,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Chocolate Stout (Cask Conditioned) Aka Double Chocolate Snowman Stout,,,,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Chocolate Stout (Cask Conditioned) Aka Double Chocolate Snowman Stout,,,,,American-Style Stout,North American Origin Ales,35.0,60.0,5.7,8.8,40.0,40.0,1.05,,1.01,1.022,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Citra IPL,,5.2,,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Citra IPL,,5.2,,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Citra Pale Ale,,,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Citra Pale Ale,,,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Collabinator Wit,,,,,Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,10.0,17.0,4.8,5.2,2.0,4.0,1.044,,1.006,1.01,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Collabinator Wit,,,,,Belgian-Style White (or Wit) / Belgian-Style Wheat,Belgian And French Origin Ales,10.0,17.0,4.8,5.2,2.0,4.0,1.044,,1.006,1.01,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Corsair Buckwheat Porter,,,,,American-Style Imperial Porter,North American Origin Ales,35.0,50.0,5.5,9.5,40.0,40.0,1.08,1.1,1.02,1.03,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Corsair Buckwheat Porter,,,,,American-Style Imperial Porter,North American Origin Ales,35.0,50.0,5.5,9.5,40.0,40.0,1.08,1.1,1.02,1.03,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Cream Ale,,5.9,18.0,,Sweet or Cream Stout,British Origin Ales,15.0,25.0,3.0,6.0,40.0,40.0,1.045,,1.012,1.02,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Cream Ale,,5.9,18.0,,Sweet or Cream Stout,British Origin Ales,15.0,25.0,3.0,6.0,40.0,40.0,1.045,,1.012,1.02,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Cubcrawler,,,,,Strong Ale,British Origin Ales,30.0,65.0,7.0,11.0,8.0,21.0,1.06,,1.014,1.04,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Cubcrawler,,,,,Strong Ale,British Origin Ales,30.0,65.0,7.0,11.0,8.0,21.0,1.06,,1.014,1.04,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
D07,Barrel aged white wheat ale with vanilla and hints of spiced rum,,,,Light American Wheat Ale or Lager with Yeast,Hybrid/mixed Beer,10.0,35.0,3.5,5.5,4.0,10.0,1.036,,1.006,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
D07,Barrel aged white wheat ale with vanilla and hints of spiced rum,,,,Light American Wheat Ale or Lager with Yeast,Hybrid/mixed Beer,10.0,35.0,3.5,5.5,4.0,10.0,1.036,,1.006,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Dark Knight,,,,,Brown Porter,British Origin Ales,20.0,30.0,4.5,6.0,20.0,35.0,1.04,,1.006,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Dark Knight,,,,,Brown Porter,British Origin Ales,20.0,30.0,4.5,6.0,20.0,35.0,1.04,,1.006,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Das Bij,"We use local honey and thyme
 to give the brew a dry, herbal quality that compliments the
 noble hops. With a light, champagne-like body, it’s the perfect way to close
 out the long dog days of summer.",5.6,26.0,,French & Belgian-Style Saison,Belgian And French Origin Ales,20.0,40.0,4.5,8.5,4.0,14.0,1.055,,1.004,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Das Bij,"We use local honey and thyme
 to give the brew a dry, herbal quality that compliments the
 noble hops. With a light, champagne-like body, it’s the perfect way to close
 out the long dog days of summer.",5.6,26.0,,French & Belgian-Style Saison,Belgian And French Origin Ales,20.0,40.0,4.5,8.5,4.0,14.0,1.055,,1.004,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Deer Antler,,,,,Rye Ale or Lager with or without Yeast,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Deer Antler,,,,,Rye Ale or Lager with or without Yeast,Hybrid/mixed Beer,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Demon Brewn,,,,,Belgian-Style Pale Ale,Belgian And French Origin Ales,20.0,30.0,4.0,6.0,6.0,12.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Demon Brewn,,,,,Belgian-Style Pale Ale,Belgian And French Origin Ales,20.0,30.0,4.0,6.0,6.0,12.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Dire Wolf,"The Dire Wolf encorporates five additions of both Simcoe and Amarillo hops. Each addition was carefully planned to createoptimal bitterness and a strong, fresh aroma of grapefruit and pine. We paired these hops with an extremely pleasent malt flavor makes this a giant amongst IPAs.",6.2,79.0,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Dire Wolf,"The Dire Wolf encorporates five additions of both Simcoe and Amarillo hops. Each addition was carefully planned to createoptimal bitterness and a strong, fresh aroma of grapefruit and pine. We paired these hops with an extremely pleasent malt flavor makes this a giant amongst IPAs.",6.2,79.0,,American-Style India Pale Ale,North American Origin Ales,50.0,70.0,6.3,7.5,6.0,14.0,1.06,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Four Roses Bourbon Bearwalker Sour,,,,,American-Style Sour Ale,North American Origin Ales,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Four Roses Bourbon Bearwalker Sour,,,,,American-Style Sour Ale,North American Origin Ales,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Four Roses Rompo,,,,,German-Style Rye Ale (Roggenbier) with or without Yeast,Hybrid/mixed Beer,10.0,15.0,4.9,5.5,4.0,25.0,1.047,,1.008,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Four Roses Rompo,,,,,German-Style Rye Ale (Roggenbier) with or without Yeast,Hybrid/mixed Beer,10.0,15.0,4.9,5.5,4.0,25.0,1.047,,1.008,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Four Roses Sour,,,,,American-Style Sour Ale,North American Origin Ales,,,,,,,,,,,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Four Roses Sour,,,,,American-Style Sour Ale,North American Origin Ales,,,,,,,,,,,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Hairy Highlander,,,,,Scotch Ale,British Origin Ales,25.0,35.0,6.2,8.0,15.0,30.0,1.072,,1.016,1.028,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Hairy Highlander,,,,,Scotch Ale,British Origin Ales,25.0,35.0,6.2,8.0,15.0,30.0,1.072,,1.016,1.028,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
